MealName,Protein,Carb,Sauce,Veg,Other,Energy
Chicken Tikka Masala,Chicken Thigh,"Rice, Naan",Curry,"Tomato, Onion",Cilantro,High
Kung Pao Chicken,Chicken Thigh,Rice,Kung Pao Sauce,Bell Peppers,Peanuts,Medium
Burgers,Ground Beef,Bun,Burger Sauce,Onion,Cheese,Low
Steak Dinner,Steak,Potatoes,Butter,Asparagus,,Medium
Sandwiches,Deli Meat,French Roll,Mayonnaise,Pickles,Provolone,Low
BBQ Chicken,Chicken Thigh,Bread,BBQ Sauce,Onion,,Medium
Spaghetti & Meatballs,Meatballs,Spaghetti,Tomato Sauce,Tomato,Parmesan,Low
Fried Chicken,"Chicken Thigh, Chicken Breast",Bun,Canes Sauce,Pickles,,High
Sloppy Joes,Ground Beef,Bun,Joe Sauce,"Tomato, Onion",,Medium
Quesabirria,Chuck Roast,Tortilla,Adobo,Chili Peppers,"Onion, Cilantro",High
Shrimp Scampi,Shrimp,Pasta,Butter and Garlic,Squash,Parmesan,Low
NY Style Pizza,"Pepperoni, Mozzarella",Pizza,Pizza Sauce,Tomato,Pecorino Romano,Extra High
Chicken Tinga,Chicken Breast,"Rice, Tortilla",Tinga Sauce,"Tomatillo, Tomato","Onion, Cilantro",Medium
Carnitas,Pork Butt,Tortilla,Salsa,Onion,Cilantro,High
Focaccia Pizza,"Pepperoni, Mozzarella",Focaccia,Pizza Sauce,Tomato,Pecorino Romano,Medium
Salmon,Salmon,Potatoes,Butter,Asparagus,,Low
Beef Tacos,Ground Beef,Tortilla,Salsa,"Onion, Tomato","Cilantro, Cheese",Medium
Pad Thai,"Shrimp, Egg",Rice Noodles,Tamarind Sauce,Bean Sprouts,"Peanuts, Lime",Medium
Ramen,"Pork Belly, Soft-Boiled Egg",Ramen Noodles,Soy Broth,"Bok Choy, Corn","Nori, Scallions",High
Chicken Shawarma,Chicken Thigh,Pita,Garlic Sauce,"Tomato, Cucumber",Pickled Turnips,Medium
Lobster Bisque,Lobster,Crusty Bread,"Cream, Sherry","Celery, Onion",Tarragon,Low
Pork Fried Rice,"Pork, Egg",Rice,Soy Sauce,"Carrots, Peas","Scallions, Sesame",Medium
Lamb Gyros,Ground Lamb,Pita,Tzatziki,"Tomato, Red Onion",Feta,Medium
Chicken Alfredo,Chicken Breast,Fettuccine,Alfredo Sauce,Spinach,Parmesan,Low
Korean BBQ Bowl,Beef Short Rib,Rice,Gochujang,"Kimchi, Cucumber","Sesame, Scallions",High
Fish Tacos,Cod,Corn Tortilla,Chipotle Crema,"Cabbage, Pico","Avocado, Lime",Low
Grilled Chicken Caesar,Chicken Breast,"Croutons, Baguette",Caesar Dressing,"Romaine, Parmesan",Lemon,Low
Mango Chicken Curry,Chicken Thigh,Rice,Coconut Curry,"Bell Peppers, Onion","Mango, Cilantro",Medium
Beef Stroganoff,Beef Strips,Wide Egg Noodles,Stroganoff Sauce,"Mushrooms, Onion",Sour Cream,Medium
Vegetable Stir Fry,"Tofu, Egg",Rice,Garlic Soy Sauce,"Broccoli, Snap Peas","Sesame, Scallions",Low
Pulled Pork Sandwiches,Pork Shoulder,Brioche Bun,BBQ Sauce,"Coleslaw Mix, Pickles",Red Onion,High
Chicken Fajitas,Chicken Breast,Flour Tortilla,Fajita Marinade,"Bell Peppers, Onion","Sour Cream, Salsa",Medium
Mediterranean Grain Bowl,Chicken Thigh,Farro,Lemon Herb Vinaigrette,"Cucumber, Tomato","Feta, Olives",Low
Sausage Rigatoni,Bulk Italian Sausage,Rigatoni,Tomato Cream Sauce,"Spinach, Onion",Parmesan,Medium
Shrimp Tacos,Shrimp,"Corn Tortilla, Rice",Chipotle Lime Crema,"Cabbage, Pico","Cotija, Cilantro",Low
Baked Ziti,"Ground Beef, Ricotta",Ziti,Marinara,"Basil, Spinach",Mozzarella,High
Korean Chicken Wings,Chicken Wings,Rice,Gochujang Glaze,"Cabbage, Scallions","Sesame, Pickles",High
Turkey Chili,Ground Turkey,Crusty Bread,Tomato Chili Base,"Beans, Onion","Cheddar, Sour Cream",Medium
Pesto Salmon,Salmon,Orzo,Pesto Cream,"Asparagus, Cherry Tomato",Lemon Zest,Low
Spanish Paella,"Shrimp, Chorizo",Saffron Rice,Tomato Sofrito,"Peas, Red Pepper",Lemon Wedges,High
Chicken Pot Pie,Chicken Thigh,Puff Pastry,Creamy Herb Sauce,"Carrots, Peas",Thyme,Medium
